,height,tss,part,nss,ss
455,13.65,1109.814,1088.994,18.984,1.836
456,13.68,1110.06,1089.254,18.978,1.828
457,13.71,1110.304,1089.52,18.964,1.82
458,13.74,1110.551,1089.792,18.947,1.813
459,13.77,1110.802,1090.066,18.931,1.805
460,13.8,1111.062,1090.342,18.923,1.798
461,13.83,1111.327,1090.622,18.915,1.79
462,13.86,1111.593,1090.903,18.907,1.783
463,13.89,1111.864,1091.19,18.898,1.775
464,13.92,1112.142,1091.484,18.89,1.768
465,13.95,1112.428,1091.788,18.879,1.761
466,13.98,1112.716,1092.094,18.868,1.754
467,14.01,1113.004,1092.404,18.853,1.747
468,14.04,1113.295,1092.717,18.838,1.74
469,14.07,1113.588,1093.034,18.821,1.733
470,14.1,1113.882,1093.351,18.805,1.726
471,14.13,1114.181,1093.68,18.782,1.719
472,14.16,1114.486,1094.016,18.758,1.712
473,14.19,1114.807,1094.359,18.742,1.706
474,14.22,1115.136,1094.705,18.731,1.699
475,14.25,1115.461,1095.055,18.713,1.692
476,14.28,1115.788,1095.406,18.695,1.686
477,14.31,1116.119,1095.762,18.678,1.68
478,14.34,1116.462,1096.12,18.668,1.673
479,14.37,1116.821,1096.491,18.663,1.667
480,14.4,1117.189,1096.872,18.658,1.659
481,14.43,1117.555,1097.252,18.654,1.649
482,14.46,1117.921,1097.635,18.649,1.638
483,14.49,1118.289,1098.023,18.641,1.625
484,14.52,1118.667,1098.415,18.633,1.618
485,14.55,1119.046,1098.81,18.621,1.615
486,14.58,1119.432,1099.214,18.606,1.612
487,14.61,1119.823,1099.624,18.589,1.609
488,14.64,1120.213,1100.04,18.567,1.606
489,14.67,1120.613,1100.463,18.547,1.603
490,14.7,1121.026,1100.89,18.537,1.6
491,14.73,1121.445,1101.322,18.526,1.597
492,14.76,1121.866,1101.756,18.516,1.594
493,14.79,1122.297,1102.201,18.506,1.591
494,14.82,1122.737,1102.654,18.496,1.587
495,14.85,1123.183,1103.113,18.485,1.584
496,14.88,1123.632,1103.576,18.474,1.581
497,14.91,1124.085,1104.046,18.461,1.578
498,14.94,1124.533,1104.521,18.437,1.575
499,14.97,1124.98,1105.003,18.404,1.572
500,15.0,1125.426,1105.496,18.361,1.569
501,15.03,1125.888,1105.999,18.322,1.566
502,15.06,1126.366,1106.504,18.299,1.563
503,15.09,1126.851,1107.014,18.277,1.56
504,15.12,1127.344,1107.53,18.257,1.557
505,15.15,1127.839,1108.048,18.237,1.554
506,15.18,1128.343,1108.574,18.217,1.551
507,15.21,1128.859,1109.117,18.195,1.547
508,15.24,1129.388,1109.672,18.174,1.542
509,15.27,1129.922,1110.23,18.156,1.536
510,15.3,1130.461,1110.793,18.139,1.529
511,15.33,1131.001,1111.363,18.116,1.522
512,15.36,1131.548,1111.937,18.096,1.515
513,15.39,1132.106,1112.521,18.077,1.508
514,15.42,1132.684,1113.122,18.061,1.501
515,15.45,1133.27,1113.727,18.049,1.494
516,15.48,1133.864,1114.34,18.037,1.487
517,15.51,1134.455,1114.956,18.019,1.48
518,15.54,1135.049,1115.579,17.996,1.474
519,15.57,1135.651,1116.211,17.973,1.467
520,15.6,1136.266,1116.858,17.947,1.461
521,15.63,1136.892,1117.517,17.922,1.454
522,15.66,1137.523,1118.182,17.893,1.448
523,15.69,1138.161,1118.858,17.864,1.439
